city_district_city,city_district_district,city_district_car_type,city_district_year,city_district_count
강원,강릉시,승용,2017,961960
강원,강릉시,승용,2018,993860
강원,강릉시,승용,2019,1020297
강원,강릉시,승용,2020,1050338
강원,강릉시,승용,2021,1086819
강원,강릉시,승용,2022,1113610
강원,강릉시,승용,2023,1140187
강원,강릉시,승용,2024,1158300
강원,강릉시,승용,2025,583349
강원,강릉시,승합,2017,50075
강원,강릉시,승합,2018,48672
강원,강릉시,승합,2019,45865
강원,강릉시,승합,2020,45108
강원,강릉시,승합,2021,43435
강원,강릉시,승합,2022,41664
강원,강릉시,승합,2023,39965
강원,강릉시,승합,2024,38435
강원,강릉시,승합,2025,18408
강원,강릉시,특수,2017,5449
강원,강릉시,특수,2018,5929
강원,강릉시,특수,2019,6265
강원,강릉시,특수,2020,6797
강원,강릉시,특수,2021,7757
강원,강릉시,특수,2022,8670
강원,강릉시,특수,2023,9699
강원,강릉시,특수,2024,10591
강원,강릉시,특수,2025,5163
강원,강릉시,화물,2017,222266
강원,강릉시,화물,2018,226554
강원,강릉시,화물,2019,226405
강원,강릉시,화물,2020,227706
강원,강릉시,화물,2021,229666
강원,강릉시,화물,2022,234373
강원,강릉시,화물,2023,237971
강원,강릉시,화물,2024,238754
강원,강릉시,화물,2025,118473
강원,고성군,승용,2017,112128
강원,고성군,승용,2018,116257
강원,고성군,승용,2019,118221
강원,고성군,승용,2020,120259
강원,고성군,승용,2021,126101
강원,고성군,승용,2022,134621
강원,고성군,승용,2023,139814
강원,고성군,승용,2024,143623
강원,고성군,승용,2025,72290
강원,고성군,승합,2017,7544
강원,고성군,승합,2018,7366
강원,고성군,승합,2019,7270
강원,고성군,승합,2020,7291
강원,고성군,승합,2021,7056
강원,고성군,승합,2022,6924
강원,고성군,승합,2023,6832
강원,고성군,승합,2024,6404
강원,고성군,승합,2025,3074
강원,고성군,특수,2017,535
강원,고성군,특수,2018,597
강원,고성군,특수,2019,581
강원,고성군,특수,2020,635
강원,고성군,특수,2021,832
강원,고성군,특수,2022,936
강원,고성군,특수,2023,1022
강원,고성군,특수,2024,1037
강원,고성군,특수,2025,566
강원,고성군,화물,2017,43070
강원,고성군,화물,2018,42770
강원,고성군,화물,2019,43729
강원,고성군,화물,2020,45039
강원,고성군,화물,2021,46557
강원,고성군,화물,2022,48224
강원,고성군,화물,2023,49740
강원,고성군,화물,2024,50449
강원,고성군,화물,2025,25071
강원,동해시,승용,2017,409957
강원,동해시,승용,2018,419429
강원,동해시,승용,2019,428865
강원,동해시,승용,2020,442814
강원,동해시,승용,2021,456566
강원,동해시,승용,2022,467738
강원,동해시,승용,2023,479638
강원,동해시,승용,2024,486291
강원,동해시,승용,2025,244876
강원,동해시,승합,2017,21383
강원,동해시,승합,2018,20938
강원,동해시,승합,2019,20738
강원,동해시,승합,2020,20177
강원,동해시,승합,2021,19804
강원,동해시,승합,2022,18965
강원,동해시,승합,2023,18422
강원,동해시,승합,2024,17396
강원,동해시,승합,2025,8436
강원,동해시,특수,2017,2741
강원,동해시,특수,2018,2852
강원,동해시,특수,2019,3131
강원,동해시,특수,2020,3426
강원,동해시,특수,2021,3819
강원,동해시,특수,2022,4252
강원,동해시,특수,2023,4573
강원,동해시,특수,2024,4841
강원,동해시,특수,2025,2405
강원,동해시,화물,2017,84394
강원,동해시,화물,2018,84837
강원,동해시,화물,2019,85904
강원,동해시,화물,2020,87353
강원,동해시,화물,2021,88454
강원,동해시,화물,2022,89772
강원,동해시,화물,2023,90975
강원,동해시,화물,2024,90878
강원,동해시,화물,2025,45056
강원,삼척시,승용,2017,275827
강원,삼척시,승용,2018,287356
강원,삼척시,승용,2019,295333
강원,삼척시,승용,2020,298706
강원,삼척시,승용,2021,303196
강원,삼척시,승용,2022,310310
강원,삼척시,승용,2023,317372
강원,삼척시,승용,2024,322350
강원,삼척시,승용,2025,162467
강원,삼척시,승합,2017,15188
강원,삼척시,승합,2018,14914
강원,삼척시,승합,2019,14102
강원,삼척시,승합,2020,13842
강원,삼척시,승합,2021,13643
강원,삼척시,승합,2022,13743
강원,삼척시,승합,2023,13287
강원,삼척시,승합,2024,12490
강원,삼척시,승합,2025,5981
강원,삼척시,특수,2017,833
강원,삼척시,특수,2018,891
강원,삼척시,특수,2019,997
강원,삼척시,특수,2020,1106
강원,삼척시,특수,2021,1410
강원,삼척시,특수,2022,1767
강원,삼척시,특수,2023,2097
강원,삼척시,특수,2024,2410
강원,삼척시,특수,2025,1260
강원,삼척시,화물,2017,75702
강원,삼척시,화물,2018,77983
강원,삼척시,화물,2019,80026
강원,삼척시,화물,2020,82062
강원,삼척시,화물,2021,83066
강원,삼척시,화물,2022,84194
강원,삼척시,화물,2023,85336
강원,삼척시,화물,2024,85636
강원,삼척시,화물,2025,42757
강원,속초시,승용,2017,337041
강원,속초시,승용,2018,351483
강원,속초시,승용,2019,361107
강원,속초시,승용,2020,376393
강원,속초시,승용,2021,392127
강원,속초시,승용,2022,405268
강원,속초시,승용,2023,418483
강원,속초시,승용,2024,423189
강원,속초시,승용,2025,211435
강원,속초시,승합,2017,20215
강원,속초시,승합,2018,19800
강원,속초시,승합,2019,19225
강원,속초시,승합,2020,18766
강원,속초시,승합,2021,17913
강원,속초시,승합,2022,17009
강원,속초시,승합,2023,16279
강원,속초시,승합,2024,15690
강원,속초시,승합,2025,7525
강원,속초시,특수,2017,1576
강원,속초시,특수,2018,1883
강원,속초시,특수,2019,1997
