city_district_city,city_district_district,city_district_car_type,city_district_year,city_district_count
강원,속초시,특수,2020,2122
강원,속초시,특수,2021,2395
강원,속초시,특수,2022,2610
강원,속초시,특수,2023,2819
강원,속초시,특수,2024,2982
강원,속초시,특수,2025,1489
강원,속초시,화물,2017,69877
강원,속초시,화물,2018,70119
강원,속초시,화물,2019,69381
강원,속초시,화물,2020,69597
강원,속초시,화물,2021,70231
강원,속초시,화물,2022,70393
강원,속초시,화물,2023,71046
강원,속초시,화물,2024,69833
강원,속초시,화물,2025,34431
강원,양구군,승용,2017,93808
강원,양구군,승용,2018,97395
강원,양구군,승용,2019,100202
강원,양구군,승용,2020,100189
강원,양구군,승용,2021,102092
강원,양구군,승용,2022,103478
강원,양구군,승용,2023,106759
강원,양구군,승용,2024,107306
강원,양구군,승용,2025,54219
강원,양구군,승합,2017,5392
강원,양구군,승합,2018,5347
강원,양구군,승합,2019,5361
강원,양구군,승합,2020,5293
강원,양구군,승합,2021,5176
강원,양구군,승합,2022,4952
강원,양구군,승합,2023,4807
강원,양구군,승합,2024,4744
강원,양구군,승합,2025,2285
강원,양구군,특수,2017,371
강원,양구군,특수,2018,458
강원,양구군,특수,2019,538
강원,양구군,특수,2020,566
강원,양구군,특수,2021,605
강원,양구군,특수,2022,726
강원,양구군,특수,2023,866
강원,양구군,특수,2024,935
강원,양구군,특수,2025,482
강원,양구군,화물,2017,37297
강원,양구군,화물,2018,38303
강원,양구군,화물,2019,39342
강원,양구군,화물,2020,39866
강원,양구군,화물,2021,40735
강원,양구군,화물,2022,41147
강원,양구군,화물,2023,41839
강원,양구군,화물,2024,42171
강원,양구군,화물,2025,21028
강원,양양군,승용,2017,116968
강원,양양군,승용,2018,122521
강원,양양군,승용,2019,128928
강원,양양군,승용,2020,135047
강원,양양군,승용,2021,140736
강원,양양군,승용,2022,144663
강원,양양군,승용,2023,149671
강원,양양군,승용,2024,152159
강원,양양군,승용,2025,76918
강원,양양군,승합,2017,6771
강원,양양군,승합,2018,6801
강원,양양군,승합,2019,6601
강원,양양군,승합,2020,6324
강원,양양군,승합,2021,6158
강원,양양군,승합,2022,6054
강원,양양군,승합,2023,5900
강원,양양군,승합,2024,5734
강원,양양군,승합,2025,2769
강원,양양군,특수,2017,482
강원,양양군,특수,2018,625
강원,양양군,특수,2019,765
강원,양양군,특수,2020,799
강원,양양군,특수,2021,969
강원,양양군,특수,2022,1084
강원,양양군,특수,2023,1283
강원,양양군,특수,2024,1343
강원,양양군,특수,2025,713
강원,양양군,화물,2017,44798
강원,양양군,화물,2018,46224
강원,양양군,화물,2019,47846
강원,양양군,화물,2020,48941
강원,양양군,화물,2021,50190
강원,양양군,화물,2022,50967
강원,양양군,화물,2023,52028
강원,양양군,화물,2024,52303
강원,양양군,화물,2025,25992
강원,영월군,승용,2017,158974
강원,영월군,승용,2018,164179
강원,영월군,승용,2019,167695
강원,영월군,승용,2020,171683
강원,영월군,승용,2021,174842
강원,영월군,승용,2022,178477
강원,영월군,승용,2023,182174
강원,영월군,승용,2024,184960
강원,영월군,승용,2025,92729
강원,영월군,승합,2017,12169
강원,영월군,승합,2018,11727
강원,영월군,승합,2019,11363
강원,영월군,승합,2020,11132
강원,영월군,승합,2021,10603
강원,영월군,승합,2022,10178
강원,영월군,승합,2023,9780
강원,영월군,승합,2024,9271
강원,영월군,승합,2025,4506
강원,영월군,특수,2017,1043
강원,영월군,특수,2018,1095
강원,영월군,특수,2019,1229
강원,영월군,특수,2020,1261
강원,영월군,특수,2021,1461
강원,영월군,특수,2022,1680
강원,영월군,특수,2023,1954
강원,영월군,특수,2024,2232
강원,영월군,특수,2025,1129
강원,영월군,화물,2017,69756
강원,영월군,화물,2018,71337
강원,영월군,화물,2019,73079
강원,영월군,화물,2020,74557
강원,영월군,화물,2021,76055
강원,영월군,화물,2022,76959
강원,영월군,화물,2023,77524
강원,영월군,화물,2024,77747
강원,영월군,화물,2025,38771
강원,원주시,승용,2017,1508781
강원,원주시,승용,2018,1569499
강원,원주시,승용,2019,1632672
강원,원주시,승용,2020,1709154
강원,원주시,승용,2021,1781152
강원,원주시,승용,2022,1853249
강원,원주시,승용,2023,1912815
강원,원주시,승용,2024,1958841
강원,원주시,승용,2025,994747
강원,원주시,승합,2017,73766
강원,원주시,승합,2018,72484
강원,원주시,승합,2019,70976
강원,원주시,승합,2020,70219
강원,원주시,승합,2021,67951
강원,원주시,승합,2022,64975
강원,원주시,승합,2023,62386
강원,원주시,승합,2024,59569
강원,원주시,승합,2025,28777
강원,원주시,특수,2017,5298
강원,원주시,특수,2018,5942
강원,원주시,특수,2019,6396
강원,원주시,특수,2020,7189
강원,원주시,특수,2021,8656
강원,원주시,특수,2022,10447
강원,원주시,특수,2023,11744
강원,원주시,특수,2024,12656
강원,원주시,특수,2025,6653
강원,원주시,화물,2017,309382
강원,원주시,화물,2018,316722
강원,원주시,화물,2019,321972
강원,원주시,화물,2020,325277
강원,원주시,화물,2021,335067
강원,원주시,화물,2022,344260
강원,원주시,화물,2023,352389
강원,원주시,화물,2024,351374
강원,원주시,화물,2025,174659
강원,인제군,승용,2017,139586
강원,인제군,승용,2018,144020
강원,인제군,승용,2019,148479
강원,인제군,승용,2020,153802
강원,인제군,승용,2021,161144
강원,인제군,승용,2022,168193
강원,인제군,승용,2023,174024
강원,인제군,승용,2024,176975
강원,인제군,승용,2025,88722
강원,인제군,승합,2017,8821
강원,인제군,승합,2018,8491
강원,인제군,승합,2019,8123
강원,인제군,승합,2020,7911
강원,인제군,승합,2021,7853
강원,인제군,승합,2022,7728
강원,인제군,승합,2023,7287
강원,인제군,승합,2024,6868
강원,인제군,승합,2025,3337
강원,인제군,특수,2017,708
강원,인제군,특수,2018,778
강원,인제군,특수,2019,823
강원,인제군,특수,2020,928
강원,인제군,특수,2021,1111
강원,인제군,특수,2022,1331
강원,인제군,특수,2023,1419
강원,인제군,특수,2024,1468
강원,인제군,특수,2025,758
강원,인제군,화물,2017,55865
강원,인제군,화물,2018,57057
강원,인제군,화물,2019,58041
강원,인제군,화물,2020,59027
강원,인제군,화물,2021,60057
강원,인제군,화물,2022,60691
강원,인제군,화물,2023,61735
강원,인제군,화물,2024,62558
강원,인제군,화물,2025,31397
강원,정선군,승용,2017,156999
강원,정선군,승용,2018,161106
강원,정선군,승용,2019,163720
강원,정선군,승용,2020,167248
강원,정선군,승용,2021,169962
강원,정선군,승용,2022,171926
강원,정선군,승용,2023,174692
강원,정선군,승용,2024,174702
강원,정선군,승용,2025,87662
강원,정선군,승합,2017,11252
강원,정선군,승합,2018,10908
강원,정선군,승합,2019,10487
강원,정선군,승합,2020,10230
강원,정선군,승합,2021,9763
강원,정선군,승합,2022,9373
강원,정선군,승합,2023,9193
강원,정선군,승합,2024,8757
강원,정선군,승합,2025,4230
강원,정선군,특수,2017,918
강원,정선군,특수,2018,947
강원,정선군,특수,2019,1050
강원,정선군,특수,2020,1139
강원,정선군,특수,2021,1260
강원,정선군,특수,2022,1553
강원,정선군,특수,2023,1644
강원,정선군,특수,2024,1854
강원,정선군,특수,2025,1005
강원,정선군,화물,2017,71003
강원,정선군,화물,2018,72948
강원,정선군,화물,2019,74859
강원,정선군,화물,2020,76031
강원,정선군,화물,2021,77118
강원,정선군,화물,2022,77341
강원,정선군,화물,2023,78155
강원,정선군,화물,2024,77715
강원,정선군,화물,2025,38687
강원,철원군,승용,2017,182649
강원,철원군,승용,2018,188590
강원,철원군,승용,2019,192516
강원,철원군,승용,2020,195772
강원,철원군,승용,2021,199698
강원,철원군,승용,2022,202015
강원,철원군,승용,2023,205531
강원,철원군,승용,2024,207409
강원,철원군,승용,2025,104313
강원,철원군,승합,2017,12832
강원,철원군,승합,2018,12423
강원,철원군,승합,2019,12048
강원,철원군,승합,2020,11685
강원,철원군,승합,2021,11097
강원,철원군,승합,2022,10423
강원,철원군,승합,2023,9926
강원,철원군,승합,2024,9515
강원,철원군,승합,2025,4613
강원,철원군,특수,2017,713
강원,철원군,특수,2018,747
강원,철원군,특수,2019,830
강원,철원군,특수,2020,905
강원,철원군,특수,2021,1020
강원,철원군,특수,2022,1101
강원,철원군,특수,2023,1262
강원,철원군,특수,2024,1436
강원,철원군,특수,2025,768
강원,철원군,화물,2017,79670
강원,철원군,화물,2018,81475
강원,철원군,화물,2019,83187
강원,철원군,화물,2020,84017
강원,철원군,화물,2021,85097
강원,철원군,화물,2022,86257
강원,철원군,화물,2023,87430
강원,철원군,화물,2024,87740
강원,철원군,화물,2025,43704
강원,춘천시,승용,2017,1209069
강원,춘천시,승용,2018,1253164
강원,춘천시,승용,2019,1285761
강원,춘천시,승용,2020,1331071
강원,춘천시,승용,2021,1379717
강원,춘천시,승용,2022,1428377
강원,춘천시,승용,2023,1467775
강원,춘천시,승용,2024,1486852
강원,춘천시,승용,2025,750150
강원,춘천시,승합,2017,60214
강원,춘천시,승합,2018,59458
강원,춘천시,승합,2019,57905
강원,춘천시,승합,2020,55851
강원,춘천시,승합,2021,53397
강원,춘천시,승합,2022,51359
강원,춘천시,승합,2023,49746
강원,춘천시,승합,2024,47888
강원,춘천시,승합,2025,23412
강원,춘천시,특수,2017,5267
강원,춘천시,특수,2018,5848
강원,춘천시,특수,2019,6540
강원,춘천시,특수,2020,7331
강원,춘천시,특수,2021,8763
강원,춘천시,특수,2022,10088
강원,춘천시,특수,2023,10903
강원,춘천시,특수,2024,11364
강원,춘천시,특수,2025,5775
강원,춘천시,화물,2017,238165
강원,춘천시,화물,2018,241945
강원,춘천시,화물,2019,246077
강원,춘천시,화물,2020,248081
강원,춘천시,화물,2021,250714
강원,춘천시,화물,2022,258024
강원,춘천시,화물,2023,262438
강원,춘천시,화물,2024,260380
강원,춘천시,화물,2025,129359
강원,태백시,승용,2017,193960
강원,태백시,승용,2018,194757
강원,태백시,승용,2019,195024
강원,태백시,승용,2020,195482
강원,태백시,승용,2021,195495
강원,태백시,승용,2022,194869
강원,태백시,승용,2023,197613
강원,태백시,승용,2024,199766
강원,태백시,승용,2025,100197
강원,태백시,승합,2017,13383
강원,태백시,승합,2018,13005
강원,태백시,승합,2019,12408
강원,태백시,승합,2020,11556
강원,태백시,승합,2021,11028
강원,태백시,승합,2022,10658
강원,태백시,승합,2023,9919
강원,태백시,승합,2024,9458
강원,태백시,승합,2025,4595
강원,태백시,특수,2017,974
강원,태백시,특수,2018,1071
강원,태백시,특수,2019,1185
강원,태백시,특수,2020,1324
강원,태백시,특수,2021,1524
강원,태백시,특수,2022,1642
강원,태백시,특수,2023,1854
강원,태백시,특수,2024,2124
강원,태백시,특수,2025,1118
강원,태백시,화물,2017,44469
강원,태백시,화물,2018,44041
강원,태백시,화물,2019,44079
강원,태백시,화물,2020,43481
강원,태백시,화물,2021,42816
강원,태백시,화물,2022,42973
강원,태백시,화물,2023,43423
강원,태백시,화물,2024,43234
강원,태백시,화물,2025,21490
강원,평창군,승용,2017,186278
강원,평창군,승용,2018,191423
강원,평창군,승용,2019,195735
강원,평창군,승용,2020,198377
강원,평창군,승용,2021,201471
강원,평창군,승용,2022,207156
강원,평창군,승용,2023,213232
강원,평창군,승용,2024,216927
강원,평창군,승용,2025,108645
강원,평창군,승합,2017,12198
강원,평창군,승합,2018,11988
강원,평창군,승합,2019,12024
강원,평창군,승합,2020,11831
강원,평창군,승합,2021,11560
강원,평창군,승합,2022,11623
강원,평창군,승합,2023,11805
강원,평창군,승합,2024,11447
강원,평창군,승합,2025,5297
강원,평창군,특수,2017,840
강원,평창군,특수,2018,920
강원,평창군,특수,2019,908
강원,평창군,특수,2020,1056
강원,평창군,특수,2021,1208
강원,평창군,특수,2022,1469
강원,평창군,특수,2023,1683
강원,평창군,특수,2024,2088
강원,평창군,특수,2025,1009
강원,평창군,화물,2017,98547
강원,평창군,화물,2018,100510
강원,평창군,화물,2019,101754
강원,평창군,화물,2020,102492
강원,평창군,화물,2021,102837
강원,평창군,화물,2022,104562
강원,평창군,화물,2023,106760
강원,평창군,화물,2024,107549
강원,평창군,화물,2025,53347
강원,홍천군,승용,2017,283943
강원,홍천군,승용,2018,294975
강원,홍천군,승용,2019,301160
강원,홍천군,승용,2020,309137
강원,홍천군,승용,2021,319849
강원,홍천군,승용,2022,326069
강원,홍천군,승용,2023,335789
강원,홍천군,승용,2024,341996
강원,홍천군,승용,2025,172460
강원,홍천군,승합,2017,22768
강원,홍천군,승합,2018,22572
강원,홍천군,승합,2019,22218
강원,홍천군,승합,2020,22093
강원,홍천군,승합,2021,21723
강원,홍천군,승합,2022,20846
강원,홍천군,승합,2023,19805
강원,홍천군,승합,2024,19150
강원,홍천군,승합,2025,9291
강원,홍천군,특수,2017,1922
강원,홍천군,특수,2018,2003
강원,홍천군,특수,2019,2171
강원,홍천군,특수,2020,2103
강원,홍천군,특수,2021,2340
강원,홍천군,특수,2022,2512
강원,홍천군,특수,2023,2620
강원,홍천군,특수,2024,2863
강원,홍천군,특수,2025,1546
강원,홍천군,화물,2017,134024
강원,홍천군,화물,2018,137866
강원,홍천군,화물,2019,139827
강원,홍천군,화물,2020,140907
강원,홍천군,화물,2021,142905
강원,홍천군,화물,2022,145134
강원,홍천군,화물,2023,148227
강원,홍천군,화물,2024,149061
강원,홍천군,화물,2025,74319
강원,화천군,승용,2017,102208
강원,화천군,승용,2018,105912
강원,화천군,승용,2019,108959
강원,화천군,승용,2020,112008
강원,화천군,승용,2021,115089
강원,화천군,승용,2022,116488
강원,화천군,승용,2023,117021
강원,화천군,승용,2024,119349
강원,화천군,승용,2025,60133
강원,화천군,승합,2017,5744
강원,화천군,승합,2018,6166
강원,화천군,승합,2019,6195
강원,화천군,승합,2020,5963
강원,화천군,승합,2021,5638
강원,화천군,승합,2022,5341
강원,화천군,승합,2023,5065
강원,화천군,승합,2024,4753
강원,화천군,승합,2025,2340
강원,화천군,특수,2017,529
강원,화천군,특수,2018,583
강원,화천군,특수,2019,614
강원,화천군,특수,2020,701
강원,화천군,특수,2021,840
강원,화천군,특수,2022,982
강원,화천군,특수,2023,1070
강원,화천군,특수,2024,1096
강원,화천군,특수,2025,552
강원,화천군,화물,2017,36865
강원,화천군,화물,2018,37435
강원,화천군,화물,2019,38684
강원,화천군,화물,2020,39533
강원,화천군,화물,2021,40131
강원,화천군,화물,2022,41167
강원,화천군,화물,2023,41480
강원,화천군,화물,2024,41413
강원,화천군,화물,2025,20673
강원,횡성군,승용,2017,187469
강원,횡성군,승용,2018,197080
강원,횡성군,승용,2019,203479
강원,횡성군,승용,2020,211063
강원,횡성군,승용,2021,219365
강원,횡성군,승용,2022,226777
강원,횡성군,승용,2023,235077
강원,횡성군,승용,2024,239422
강원,횡성군,승용,2025,121409
강원,횡성군,승합,2017,12977
강원,횡성군,승합,2018,12952
강원,횡성군,승합,2019,12663
강원,횡성군,승합,2020,12471
강원,횡성군,승합,2021,12698
강원,횡성군,승합,2022,12381
강원,횡성군,승합,2023,12344
강원,횡성군,승합,2024,11685
강원,횡성군,승합,2025,5631
강원,횡성군,특수,2017,972
강원,횡성군,특수,2018,1115
강원,횡성군,특수,2019,1245
강원,횡성군,특수,2020,1366
강원,횡성군,특수,2021,1536
강원,횡성군,특수,2022,1750
강원,횡성군,특수,2023,2023
강원,횡성군,특수,2024,2266
강원,횡성군,특수,2025,1192
강원,횡성군,화물,2017,91116
강원,횡성군,화물,2018,93905
강원,횡성군,화물,2019,96899
강원,횡성군,화물,2020,98780
강원,횡성군,화물,2021,101135
강원,횡성군,화물,2022,103154
강원,횡성군,화물,2023,106390
강원,횡성군,화물,2024,108251
강원,횡성군,화물,2025,54109
경기,가평군,승용,2017,247739
경기,가평군,승용,2018,259697
경기,가평군,승용,2019,267837
경기,가평군,승용,2020,274393
경기,가평군,승용,2021,284323
경기,가평군,승용,2022,292355
경기,가평군,승용,2023,301102
경기,가평군,승용,2024,310500
경기,가평군,승용,2025,156448
경기,가평군,승합,2017,22614
경기,가평군,승합,2018,21772
경기,가평군,승합,2019,20560
경기,가평군,승합,2020,19391
경기,가평군,승합,2021,18419
경기,가평군,승합,2022,17609
경기,가평군,승합,2023,16902
경기,가평군,승합,2024,16256
경기,가평군,승합,2025,7790
경기,가평군,특수,2017,1247
경기,가평군,특수,2018,1358
경기,가평군,특수,2019,1487
경기,가평군,특수,2020,1598
경기,가평군,특수,2021,1781
경기,가평군,특수,2022,2076
경기,가평군,특수,2023,2251
경기,가평군,특수,2024,2335
경기,가평군,특수,2025,1233
경기,가평군,화물,2017,76051
경기,가평군,화물,2018,77475
경기,가평군,화물,2019,78632
경기,가평군,화물,2020,78945
경기,가평군,화물,2021,80489
경기,가평군,화물,2022,82130
경기,가평군,화물,2023,83720
경기,가평군,화물,2024,83986
경기,가평군,화물,2025,41931
경기,고양시,승용,2017,1580891
경기,고양시,승용,2018,1642626
경기,고양시,승용,2019,1707007
경기,고양시,승용,2020,1818059
경기,고양시,승용,2021,1909796
경기,고양시,승용,2022,1974011
경기,고양시,승용,2023,2080914
경기,고양시,승용,2024,2113494
경기,고양시,승용,2025,1060678
경기,고양시,승합,2017,76688
경기,고양시,승합,2018,73071
경기,고양시,승합,2019,69628
경기,고양시,승합,2020,66449
경기,고양시,승합,2021,63408
경기,고양시,승합,2022,61201
경기,고양시,승합,2023,58568
경기,고양시,승합,2024,55512
경기,고양시,승합,2025,26993
경기,고양시,특수,2017,3411
경기,고양시,특수,2018,3923
경기,고양시,특수,2019,4344
경기,고양시,특수,2020,4870
경기,고양시,특수,2021,5843
경기,고양시,특수,2022,6831
경기,고양시,특수,2023,8177
경기,고양시,특수,2024,8969
경기,고양시,특수,2025,4523
경기,고양시,화물,2017,246255
경기,고양시,화물,2018,250111
경기,고양시,화물,2019,254236
경기,고양시,화물,2020,256663
경기,고양시,화물,2021,259435
경기,고양시,화물,2022,261979
경기,고양시,화물,2023,266974
경기,고양시,화물,2024,266277
경기,고양시,화물,2025,131224
경기,고양시,승용,2017,1234448
경기,고양시,승용,2018,1269378
경기,고양시,승용,2019,1281206
경기,고양시,승용,2020,1306808
경기,고양시,승용,2021,1345040
경기,고양시,승용,2022,1380147
경기,고양시,승용,2023,1393654
경기,고양시,승용,2024,1416035
경기,고양시,승용,2025,714315
경기,고양시,승합,2017,54548
경기,고양시,승합,2018,52677
경기,고양시,승합,2019,49976
경기,고양시,승합,2020,47816
경기,고양시,승합,2021,46381
경기,고양시,승합,2022,44268
경기,고양시,승합,2023,41325
경기,고양시,승합,2024,37891
경기,고양시,승합,2025,18039
경기,고양시,특수,2017,3222
경기,고양시,특수,2018,3497
경기,고양시,특수,2019,3682
경기,고양시,특수,2020,4220
경기,고양시,특수,2021,5025
경기,고양시,특수,2022,5571
경기,고양시,특수,2023,6175
경기,고양시,특수,2024,6301
경기,고양시,특수,2025,3238
경기,고양시,화물,2017,169519
경기,고양시,화물,2018,173074
경기,고양시,화물,2019,175137
경기,고양시,화물,2020,177004
경기,고양시,화물,2021,177227
경기,고양시,화물,2022,180789
경기,고양시,화물,2023,185274
경기,고양시,화물,2024,184551
경기,고양시,화물,2025,91312
경기,고양시,승용,2017,1153579
경기,고양시,승용,2018,1176931
경기,고양시,승용,2019,1221695
경기,고양시,승용,2020,1261691
경기,고양시,승용,2021,1281098
경기,고양시,승용,2022,1282551
경기,고양시,승용,2023,1292442
경기,고양시,승용,2024,1297804
경기,고양시,승용,2025,646661
경기,고양시,승합,2017,45302
경기,고양시,승합,2018,43236
경기,고양시,승합,2019,40749
경기,고양시,승합,2020,38937
경기,고양시,승합,2021,36960
경기,고양시,승합,2022,35031
경기,고양시,승합,2023,33887
경기,고양시,승합,2024,32866
경기,고양시,승합,2025,15653
경기,고양시,특수,2017,2575
경기,고양시,특수,2018,2424
경기,고양시,특수,2019,2398
경기,고양시,특수,2020,2571
경기,고양시,특수,2021,3092
경기,고양시,특수,2022,3857
경기,고양시,특수,2023,4178
경기,고양시,특수,2024,4275
경기,고양시,특수,2025,2183
경기,고양시,화물,2017,121628
경기,고양시,화물,2018,124326
경기,고양시,화물,2019,129191
경기,고양시,화물,2020,130500
경기,고양시,화물,2021,130884
경기,고양시,화물,2022,133233
경기,고양시,화물,2023,133254
경기,고양시,화물,2024,130869
경기,고양시,화물,2025,63929
경기,과천시,승용,2017,220126
경기,과천시,승용,2018,219662
경기,과천시,승용,2019,227913
경기,과천시,승용,2020,244628
경기,과천시,승용,2021,287286
경기,과천시,승용,2022,328843
경기,과천시,승용,2023,347263
경기,과천시,승용,2024,371314
경기,과천시,승용,2025,188020
경기,과천시,승합,2017,9900
경기,과천시,승합,2018,9217
경기,과천시,승합,2019,9047
경기,과천시,승합,2020,8717
경기,과천시,승합,2021,8503
경기,과천시,승합,2022,8523
경기,과천시,승합,2023,8191
경기,과천시,승합,2024,8027
경기,과천시,승합,2025,3902
경기,과천시,특수,2017,495
경기,과천시,특수,2018,502
경기,과천시,특수,2019,547
경기,과천시,특수,2020,617
경기,과천시,특수,2021,730
경기,과천시,특수,2022,900
경기,과천시,특수,2023,1035
경기,과천시,특수,2024,1227
경기,과천시,특수,2025,642
경기,과천시,화물,2017,26406
경기,과천시,화물,2018,26021
경기,과천시,화물,2019,25433
경기,과천시,화물,2020,25538
경기,과천시,화물,2021,26211
경기,과천시,화물,2022,27582
경기,과천시,화물,2023,28590
경기,과천시,화물,2024,29916
경기,과천시,화물,2025,15480
경기,광명시,승용,2017,1057832
경기,광명시,승용,2018,1078090
경기,광명시,승용,2019,1078621
경기,광명시,승용,2020,1072057
경기,광명시,승용,2021,1058620
경기,광명시,승용,2022,1071307
경기,광명시,승용,2023,1073825
경기,광명시,승용,2024,1082918
경기,광명시,승용,2025,556144
경기,광명시,승합,2017,55733
경기,광명시,승합,2018,52796
경기,광명시,승합,2019,50057
경기,광명시,승합,2020,45845
경기,광명시,승합,2021,41732
경기,광명시,승합,2022,38952
경기,광명시,승합,2023,36305
경기,광명시,승합,2024,33714
경기,광명시,승합,2025,16069
경기,광명시,특수,2017,2266
경기,광명시,특수,2018,2601
경기,광명시,특수,2019,2791
경기,광명시,특수,2020,3009
경기,광명시,특수,2021,3378
경기,광명시,특수,2022,4042
경기,광명시,특수,2023,4637
경기,광명시,특수,2024,5101
경기,광명시,특수,2025,2645
경기,광명시,화물,2017,167007
경기,광명시,화물,2018,166588
경기,광명시,화물,2019,163053
경기,광명시,화물,2020,158113
