city_data_city,city_data_car_type,city_data_count,city_data_year
서울,승용,31522322.0,2017
부산,승용,12806861.0,2017
대구,승용,11345154.0,2017
인천,승용,14755502.0,2017
광주,승용,6335155.0,2017
대전,승용,6520589.0,2017
울산,승용,5466475.0,2017
세종,승용,1227007.0,2017
경기,승용,51235321.0,2017
충북,승용,6617605.0,2017
충남,승용,7055637.0,2017
전남,승용,9332070.0,2017
경북,승용,7929789.0,2017
경남,승용,8334703.0,2017
제주,승용,12091885.0,2017
강원,승용,15563476.0,2017
전북,승용,4617343.0,2017
서울,승합,1567783.0,2017
부산,승합,576573.0,2017
대구,승합,419739.0,2017
인천,승합,669076.0,2017
광주,승합,267137.0,2017
대전,승합,278176.0,2017
울산,승합,193494.0,2017
세종,승합,47839.0,2017
경기,승합,2729702.0,2017
충북,승합,372692.0,2017
충남,승합,384398.0,2017
전남,승합,534778.0,2017
경북,승합,419496.0,2017
경남,승합,506054.0,2017
제주,승합,622228.0,2017
강원,승합,708453.0,2017
전북,승합,252061.0,2017
서울,화물,4104533.0,2017
부산,화물,2296004.0,2017
대구,화물,1962026.0,2017
인천,화물,2225992.0,2017
광주,화물,1085940.0,2017
대전,화물,1039893.0,2017
울산,화물,854558.0,2017
세종,화물,172185.0,2017
경기,화물,9212185.0,2017
충북,화물,1806266.0,2017
충남,화물,1833784.0,2017
전남,화물,2567347.0,2017
경북,화물,2198781.0,2017
경남,화물,2788226.0,2017
제주,화물,3716764.0,2017
강원,화물,3448322.0,2017
전북,화물,935887.0,2017
서울,특수,88825.0,2017
부산,특수,118950.0,2017
대구,특수,31392.0,2017
인천,특수,74606.0,2017
광주,특수,26976.0,2017
대전,특수,25498.0,2017
울산,특수,30233.0,2017
세종,특수,3111.0,2017
경기,특수,179790.0,2017
충북,특수,31171.0,2017
충남,특수,42863.0,2017
전남,특수,51280.0,2017
경북,특수,39458.0,2017
경남,특수,76409.0,2017
제주,특수,84020.0,2017
강원,특수,85118.0,2017
전북,특수,13416.0,2017
서울,승용,31810652.0,2018
부산,승용,13286882.0,2018
대구,승용,11638119.0,2018
인천,승용,15547386.0,2018
광주,승용,6505642.0,2018
대전,승용,6641388.0,2018
울산,승용,5583548.0,2018
세종,승용,1450501.0,2018
경기,승용,53830534.0,2018
충북,승용,6853006.0,2018
충남,승용,7337011.0,2018
전남,승용,9743795.0,2018
경북,승용,8185474.0,2018
경남,승용,8760764.0,2018
제주,승용,12447309.0,2018
강원,승용,15947356.0,2018
전북,승용,5134293.0,2018
서울,승합,1485538.0,2018
부산,승합,553540.0,2018
대구,승합,404233.0,2018
인천,승합,656807.0,2018
광주,승합,257926.0,2018
대전,승합,270625.0,2018
울산,승합,188194.0,2018
세종,승합,50363.0,2018
경기,승합,2662313.0,2018
충북,승합,366012.0,2018
충남,승합,376411.0,2018
전남,승합,527431.0,2018
경북,승합,412002.0,2018
경남,승합,495726.0,2018
제주,승합,608990.0,2018
강원,승합,686601.0,2018
전북,승합,245836.0,2018
서울,화물,4062151.0,2018
부산,화물,2286992.0,2018
대구,화물,1954031.0,2018
인천,화물,2273571.0,2018
광주,화물,1097862.0,2018
대전,화물,1044550.0,2018
울산,화물,859253.0,2018
세종,화물,182813.0,2018
경기,화물,9432114.0,2018
충북,화물,1842031.0,2018
충남,화물,1868495.0,2018
전남,화물,2620658.0,2018
경북,화물,2226899.0,2018
경남,화물,2844021.0,2018
제주,화물,3765111.0,2018
강원,화물,3486807.0,2018
전북,화물,954901.0,2018
서울,특수,93774.0,2018
부산,특수,121248.0,2018
대구,특수,33235.0,2018
인천,특수,78512.0,2018
광주,특수,28911.0,2018
대전,특수,27981.0,2018
울산,특수,30733.0,2018
세종,특수,3676.0,2018
경기,특수,195460.0,2018
충북,특수,34284.0,2018
충남,특수,45784.0,2018
전남,특수,54880.0,2018
경북,특수,42665.0,2018
경남,특수,78894.0,2018
제주,특수,88867.0,2018
강원,특수,89532.0,2018
전북,특수,14738.0,2018
서울,승용,31970660.0,2019
부산,승용,13683624.0,2019
대구,승용,11832373.0,2019
인천,승용,16290876.0,2019
광주,승용,6663256.0,2019
대전,승용,6725746.0,2019
울산,승용,5672562.0,2019
세종,승용,1632334.0,2019
경기,승용,55985649.0,2019
충북,승용,7048153.0,2019
충남,승용,7632901.0,2019
전남,승용,10060752.0,2019
경북,승용,8396509.0,2019
경남,승용,9069326.0,2019
제주,승용,12740380.0,2019
강원,승용,16226130.0,2019
전북,승용,5694597.0,2019
서울,승합,1407601.0,2019
부산,승합,534019.0,2019
대구,승합,389028.0,2019
인천,승합,636096.0,2019
광주,승합,249526.0,2019
