year,new_count
2017,"1,837,757"
2018,"1,835,965"
2019,"1,804,456"
2020,"1,915,743"
2021,"1,743,212"
2022,"1,692,145"
2023,"1,759,561"
2024,"1,645,998"
2025,"845,913"
