sex_city_sex,sex_city_city,sex_city_count,sex_city_year
남자,서울,23929400.0,2017
여자,서울,7887008.0,2017
남자,부산,9972255.0,2017
여자,부산,3257898.0,2017
남자,대구,9061983.0,2017
여자,대구,3008220.0,2017
남자,인천,9243787.0,2017
여자,인천,3136066.0,2017
남자,광주,4949924.0,2017
여자,광주,1848270.0,2017
남자,대전,5261921.0,2017
여자,대전,1873366.0,2017
남자,울산,4714979.0,2017
여자,울산,1285866.0,2017
남자,세종,1012024.0,2017
여자,세종,355695.0,2017
남자,경기,42386836.0,2017
여자,경기,14402678.0,2017
남자,충북,6106307.0,2017
여자,충북,2057481.0,2017
남자,충남,6399355.0,2017
여자,충남,2058505.0,2017
남자,전남,8729633.0,2017
여자,전남,2667920.0,2017
남자,경북,7119933.0,2017
여자,경북,2387677.0,2017
남자,경남,7446341.0,2017
여자,경남,2259688.0,2017
남자,제주,11735762.0,2017
여자,제주,3410252.0,2017
남자,강원,13139516.0,2017
여자,강원,4095880.0,2017
남자,전북,2608035.0,2017
여자,전북,1068556.0,2017
남자,서울,23973084.78,2018
여자,서울,8012976.0,2018
남자,부산,10052813.0,2018
여자,부산,3331338.0,2018
남자,대구,9199608.0,2018
여자,대구,3108661.0,2018
남자,인천,9451343.0,2018
여자,인천,3265853.0,2018
남자,광주,5043527.0,2018
여자,광주,1923871.0,2018
남자,대전,5307073.0,2018
여자,대전,1922207.0,2018
남자,울산,4792135.0,2018
여자,울산,1323520.0,2018
남자,세종,1177199.0,2018
여자,세종,423938.0,2018
남자,경기,44012366.0,2018
여자,경기,15226983.0,2018
남자,충북,6261490.0,2018
여자,충북,2149824.0,2018
남자,충남,6584325.0,2018
여자,충남,2155815.0,2018
남자,전남,9019589.0,2018
여자,전남,2807901.0,2018
남자,경북,7264598.0,2018
여자,경북,2474942.0,2018
남자,경남,7644024.0,2018
여자,경남,2360963.0,2018
남자,제주,11974156.0,2018
여자,제주,3547526.0,2018
남자,강원,13442687.0,2018
여자,강원,4266041.0,2018
남자,전북,2707772.0,2018
여자,전북,1131151.0,2018
남자,서울,23903649.0,2019
여자,서울,8101870.0,2019
남자,부산,10074707.0,2019
여자,부산,3389222.0,2019
남자,대구,9254337.0,2019
여자,대구,3183695.0,2019
남자,인천,9597908.0,2019
여자,인천,3374892.0,2019
남자,광주,5146254.0,2019
여자,광주,2005823.0,2019
남자,대전,5339897.0,2019
여자,대전,1962571.0,2019
남자,울산,4843417.0,2019
여자,울산,1356217.0,2019
남자,세종,1309564.0,2019
여자,세종,479480.0,2019
남자,경기,45346849.0,2019
